Volume and Put/Call Ratio data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.  Historical index volume from November 1 2006 through May 31 2012 is based on cleared volume as reported by the OCC. The volume data reflected after May 31 2012 below is based upon preliminary reported volume rather than cleared volume. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CBOE Volume and Put/Call Ratio data is subject to the Terms and Conditions of CBOE's Websites.,,,,
, PRODUCT: TOTAL,,EXCHANGE: CBOE,
DATE,CALLS,PUTS,TOTAL,P/C Ratio
02/22/2017, 2080089, 1850894, 3930983, 0.89
02/23/2017, 2373203, 1978872, 4352075, 0.83
02/24/2017, 2753091, 2282831, 5035922, 0.83
02/27/2017, 2050008, 1703819, 3753827, 0.83
02/28/2017, 1853929, 2208775, 4062704, 1.19
03/01/2017, 3212624, 2788432, 6001056, 0.87
03/02/2017, 2143851, 2196051, 4339902, 1.02
03/03/2017, 2327595, 2196175, 4523770, 0.94
03/06/2017, 1932339, 1739814, 3672153, 0.90
03/07/2017, 2127508, 1779687, 3907195, 0.84
03/08/2017, 2070546, 2022663, 4093209, 0.98
03/09/2017, 1805260, 2023692, 3828952, 1.12
03/10/2017, 2373725, 2099956, 4473681, 0.88
03/13/2017, 1717187, 1609360, 3326547, 0.94
03/14/2017, 1848855, 1718339, 3567194, 0.93
03/15/2017, 3168524, 2262169, 5430693, 0.71
03/16/2017, 2320015, 2102491, 4422506, 0.91
03/17/2017, 2767874, 2647528, 5415402, 0.96
03/20/2017, 1989135, 2105991, 4095126, 1.06
03/21/2017, 3213017, 3235885, 6448902, 1.01
03/22/2017, 2681603, 2646246, 5327849, 0.99
03/23/2017, 1884379, 2137346, 4021725, 1.13
03/24/2017, 1983236, 2407780, 4391016, 1.21
03/27/2017, 1704610, 1859887, 3564497, 1.09
03/28/2017, 2133094, 1855440, 3988534, 0.87
03/29/2017, 1803757, 1494286, 3298043, 0.83
03/30/2017, 1915056, 1791066, 3706122, 0.94
03/31/2017, 1766748, 2100229, 3866977, 1.19
04/03/2017, 1837825, 1808361, 3646186, 0.98
04/04/2017, 1503908, 1684297, 3188205, 1.12
04/05/2017, 2396675, 2201510, 4598185, 0.92
04/06/2017, 1786455, 1605472, 3391927, 0.90
04/07/2017, 2272511, 2170130, 4442641, 0.95
04/10/2017, 2066786, 2166952, 4233738, 1.05
04/11/2017, 2608915, 2373786, 4982701, 0.91
04/12/2017, 2109270, 2010609, 4119879, 0.95
04/13/2017, 2772163, 2710773, 5482936, 0.98
04/17/2017, 2032595, 1732022, 3764617, 0.85
04/18/2017, 2666925, 1723664, 4390589, 0.65
04/19/2017, 3096764, 2296447, 5393211, 0.74
04/20/2017, 2601658, 2350162, 4951820, 0.90
04/21/2017, 2738376, 2847329, 5585705, 1.04
04/24/2017, 2511466, 2639099, 5150565, 1.05
04/25/2017, 3055166, 2540819, 5595985, 0.83
04/26/2017, 2223095, 1746152, 3969247, 0.79
04/27/2017, 2196598, 2025217, 4221815, 0.92
04/28/2017, 2200945, 2116044, 4316989, 0.96
05/01/2017, 1908015, 1615863, 3523878, 0.85
05/02/2017, 2156061, 1610032, 3766093, 0.75
05/03/2017, 1962478, 2134361, 4096839, 1.09
05/04/2017, 2065977, 1874480, 3940457, 0.91
05/05/2017, 2191316, 2196345, 4387661, 1.00
05/08/2017, 2168567, 1844061, 4012628, 0.85
05/09/2017, 2751062, 2039418, 4790480, 0.74
05/10/2017, 1931946, 1816855, 3748801, 0.94
05/11/2017, 2295691, 2094606, 4390297, 0.91
05/12/2017, 2373780, 2013036, 4386816, 0.85
05/15/2017, 2332027, 1744569, 4076596, 0.75
05/16/2017, 2594609, 2047259, 4641868, 0.79
05/17/2017, 3637616, 3980395, 7618011, 1.09
05/18/2017, 2893837, 3270672, 6164509, 1.13
05/19/2017, 2484975, 2464536, 4949511, 0.99
05/22/2017, 1949645, 1670185, 3619830, 0.86
05/23/2017, 1867032, 1677078, 3544110, 0.90
05/24/2017, 1813959, 1692553, 3506512, 0.93
05/25/2017, 2472649, 2119786, 4592435, 0.86
05/26/2017, 1754783, 1594007, 3348790, 0.91
05/30/2017, 1663759, 1555893, 3219652, 0.94
05/31/2017, 2006535, 2022525, 4029060, 1.01
06/01/2017, 1970026, 1970099, 3940125, 1.00
06/02/2017, 2732806, 2249797, 4982603, 0.82
06/05/2017, 2073571, 1533356, 3606927, 0.74
06/06/2017, 2383366, 1838524, 4221890, 0.77
06/07/2017, 1987998, 1797512, 3785510, 0.90
06/08/2017, 2281802, 1600983, 3882785, 0.70
06/09/2017, 3071639, 3268386, 6340025, 1.06
06/12/2017, 2264355, 2184520, 4448875, 0.96
06/13/2017, 1788923, 1733828, 3522751, 0.97
06/14/2017, 2524931, 2108544, 4633475, 0.84
06/15/2017, 2415991, 2362496, 4778487, 0.98
06/16/2017, 2146012, 2329785, 4475797, 1.09
06/19/2017, 2317531, 1861197, 4178728, 0.80
06/20/2017, 2546438, 2120534, 4666972, 0.83
06/21/2017, 2205292, 1962986, 4168278, 0.89
06/22/2017, 1877251, 1508696, 3385947, 0.80
06/23/2017, 1861927, 1795743, 3657670, 0.96
06/26/2017, 1949621, 1572184, 3521805, 0.81
06/27/2017, 2297022, 1773426, 4070448, 0.77
06/28/2017, 1958488, 1851887, 3810375, 0.95
06/29/2017, 2998849, 2948432, 5947281, 0.98
06/30/2017, 1708951, 1924313, 3633264, 1.13
07/03/2017, 1006365, 965792, 1972157, 0.96
07/05/2017, 1783344, 1643271, 3426615, 0.92
07/06/2017, 1971589, 2213389, 4184978, 1.12
07/07/2017, 2235251, 2074381, 4309632, 0.93
07/10/2017, 1849991, 1691690, 3541681, 0.91
07/11/2017, 1634507, 1736736, 3371243, 1.06
07/12/2017, 2656315, 1876044, 4532359, 0.71
07/13/2017, 1984852, 1732148, 3717000, 0.87
07/14/2017, 2508204, 2095446, 4603650, 0.84
07/17/2017, 1906557, 1883938, 3790495, 0.99
07/18/2017, 2399261, 2086086, 4485347, 0.87
07/19/2017, 2788800, 2160150, 4948950, 0.77
07/20/2017, 2740900, 2030865, 4771765, 0.74
07/21/2017, 3272588, 2434987, 5707575, 0.74
07/24/2017, 1872510, 1540767, 3413277, 0.82
07/25/2017, 2473651, 1987484, 4461135, 0.80
07/26/2017, 2726421, 2012571, 4738992, 0.74
07/27/2017, 2873137, 2698288, 5571425, 0.94
07/28/2017, 2381178, 1979083, 4360261, 0.83
07/31/2017, 1727625, 1586586, 3314211, 0.92
08/01/2017, 1991411, 1750099, 3741510, 0.88
08/02/2017, 2294284, 2216302, 4510586, 0.97
08/03/2017, 1743630, 1757295, 3500925, 1.01
08/04/2017, 2108142, 2114185, 4222327, 1.00
08/07/2017, 1752826, 1632448, 3385274, 0.93
08/08/2017, 2562474, 2372244, 4934718, 0.93
08/09/2017, 2998215, 3186997, 6185212, 1.06
08/10/2017, 4226386, 3936437, 8162823, 0.93
08/11/2017, 3892876, 3788195, 7681071, 0.97
08/14/2017, 2567177, 2171946, 4739123, 0.85
08/15/2017, 2429863, 2298204, 4728067, 0.95
08/16/2017, 2708202, 2612422, 5320624, 0.96
08/17/2017, 3070282, 3277046, 6347328, 1.07
08/18/2017, 3044841, 3377201, 6422042, 1.11
08/21/2017, 1955676, 1932742, 3888418, 0.99
08/22/2017, 2172858, 2222721, 4395579, 1.02
08/23/2017, 1850247, 1743204, 3593451, 0.94
08/24/2017, 1558944, 1697223, 3256167, 1.09
08/25/2017, 1811212, 1811692, 3622904, 1.00
08/28/2017, 1610391, 1492300, 3102691, 0.93
08/29/2017, 2246054, 1733712, 3979766, 0.77
08/30/2017, 2151784, 1793699, 3945483, 0.83
08/31/2017, 2219446, 2343089, 4562535, 1.06
09/01/2017, 2338190, 1937896, 4276086, 0.83
09/05/2017, 2522268, 2939712, 5461980, 1.17
09/06/2017, 1999972, 1894759, 3894731, 0.95
09/07/2017, 1850055, 2093367, 3943422, 1.13
09/08/2017, 2119030, 2308551, 4427581, 1.09
09/11/2017, 2658218, 2481257, 5139475, 0.93
09/12/2017, 2753292, 2312510, 5065802, 0.84
09/13/2017, 2413845, 1959135, 4372980, 0.81
09/14/2017, 2739097, 2167871, 4906968, 0.79
09/15/2017, 2333131, 2516185, 4849316, 1.08
09/18/2017, 2842278, 2602711, 5444989, 0.92
09/19/2017, 2290919, 1748712, 4039631, 0.76
09/20/2017, 2698490, 2376716, 5075206, 0.88
09/21/2017, 1950744, 1637734, 3588478, 0.84
09/22/2017, 1858310, 1822505, 3680815, 0.98
09/25/2017, 3728877, 2625060, 6353937, 0.70
09/26/2017, 1754495, 1645340, 3399835, 0.94
09/27/2017, 2714858, 2254590, 4969448, 0.83
09/28/2017, 2189465, 1587621, 3777086, 0.73
09/29/2017, 2168004, 2270017, 4438021, 1.05
10/02/2017, 2740371, 2553213, 5293584, 0.93
10/03/2017, 2570234, 1843090, 4413324, 0.72
10/04/2017, 2345432, 1947061, 4292493, 0.83
10/05/2017, 2711279, 2267147, 4978426, 0.84
10/06/2017, 2567176, 2235889, 4803065, 0.87
10/09/2017, 1690034, 1650444, 3340478, 0.98
10/10/2017, 2235766, 1629549, 3865315, 0.73
10/11/2017, 1837558, 1649463, 3487021, 0.90
10/12/2017, 2048172, 2149866, 4198038, 1.05
10/13/2017, 2464214, 2106686, 4570900, 0.85
10/16/2017, 2246237, 2620149, 4866386, 1.17
10/17/2017, 2584935, 2131082, 4716017, 0.82
10/18/2017, 2381238, 2253658, 4634896, 0.95
10/19/2017, 2472489, 2409194, 4881683, 0.97
10/20/2017, 3356457, 2727601, 6084058, 0.81
10/23/2017, 2501138, 2460982, 4962120, 0.98
10/24/2017, 2043132, 1602677, 3645809, 0.78
10/25/2017, 2516081, 2916104, 5432185, 1.16
10/26/2017, 1914630, 1674195, 3588825, 0.87
10/27/2017, 2789949, 2466856, 5256805, 0.88
10/30/2017, 2110947, 1987559, 4098506, 0.94
10/31/2017, 1916966, 1669085, 3586051, 0.87
11/01/2017, 2540920, 2401263, 4942183, 0.95
11/02/2017, 2159678, 1870503, 4030181, 0.87
11/03/2017, 2484793, 2326353, 4811146, 0.94
11/06/2017, 2338427, 2150427, 4488854, 0.92
11/07/2017, 2524206, 2581966, 5106172, 1.02
11/08/2017, 1980811, 1922667, 3903478, 0.97
11/09/2017, 2909701, 3187089, 6096790, 1.10
11/10/2017, 2129749, 2509242, 4638991, 1.18
11/13/2017, 2273171, 2044674, 4317845, 0.90
11/14/2017, 2837392, 2549590, 5386982, 0.90
11/15/2017, 2535348, 2637935, 5173283, 1.04
11/16/2017, 2491881, 2376932, 4868813, 0.95
11/17/2017, 3048964, 2429295, 5478259, 0.80
11/20/2017, 2033651, 1870021, 3903672, 0.92
11/21/2017, 2680121, 2271984, 4952105, 0.85
11/22/2017, 1928283, 1794982, 3723265, 0.93
11/24/2017, 1251595, 1082942, 2334537, 0.87
11/27/2017, 2639368, 1899963, 4539331, 0.72
11/28/2017, 3470884, 2351297, 5822181, 0.68
11/29/2017, 3575354, 2545982, 6121336, 0.71
11/30/2017, 3408319, 2908269, 6316588, 0.85
12/01/2017, 4931810, 3844911, 8776721, 0.78
12/04/2017, 2951558, 2474121, 5425679, 0.84
12/05/2017, 2260193, 1869249, 4129442, 0.83
12/06/2017, 2305819, 1878417, 4184236, 0.81
12/07/2017, 2078340, 1743790, 3822130, 0.84
12/08/2017, 2210588, 2074388, 4284976, 0.94
12/11/2017, 2198385, 1793454, 3991839, 0.82
12/12/2017, 2696592, 2302990, 4999582, 0.85
12/13/2017, 2426921, 1829639, 4256560, 0.75
12/14/2017, 2722494, 2177986, 4900480, 0.80
12/15/2017, 3046458, 2960539, 6006997, 0.97
12/18/2017, 3401393, 2344881, 5746274, 0.69
12/19/2017, 2336790, 2039429, 4376219, 0.87
12/20/2017, 2350513, 1890473, 4240986, 0.80
12/21/2017, 1880948, 1586416, 3467364, 0.84
12/22/2017, 1690318, 1608397, 3298715, 0.95
12/26/2017, 1218646, 1207112, 2425758, 0.99
12/27/2017, 1313192, 1249654, 2562846, 0.95
12/28/2017, 1331472, 1505412, 2836884, 1.13
12/29/2017, 1803707, 2000817, 3804524, 1.11
01/02/2018, 2445115, 2141925, 4587040, 0.88
01/03/2018, 2883852, 2463057, 5346909, 0.85
01/04/2018, 3165683, 2610892, 5776575, 0.82
01/05/2018, 3016852, 2776495, 5793347, 0.92
01/08/2018, 3394444, 2197476, 5591920, 0.65
01/09/2018, 2582149, 2080375, 4662524, 0.81
01/10/2018, 4096432, 2938080, 7034512, 0.72
01/11/2018, 3434987, 2461711, 5896698, 0.72
01/12/2018, 4074628, 3009461, 7084089, 0.74
01/16/2018, 4752440, 3293417, 8045857, 0.69
01/17/2018, 3556929, 2824513, 6381442, 0.79
01/18/2018, 2973999, 2472743, 5446742, 0.83
01/19/2018, 2914279, 2505421, 5419700, 0.86
01/22/2018, 2777291, 2480774, 5258065, 0.89
01/23/2018, 3641740, 2337131, 5978871, 0.64
01/24/2018, 3677757, 3098203, 6775960, 0.84
01/25/2018, 2459361, 1978554, 4437915, 0.80
01/26/2018, 3121810, 2467613, 5589423, 0.79
01/29/2018, 3305058, 2461877, 5766935, 0.74
01/30/2018, 3107839, 2952811, 6060650, 0.95
01/31/2018, 3064194, 2761194, 5825388, 0.90
02/01/2018, 2598192, 2353492, 4951684, 0.91
02/02/2018, 6035199, 5419273, 11454472, 0.90
02/05/2018, 5923125, 5428719, 11351844, 0.92
02/06/2018, 5744211, 5671878, 11416089, 0.99
02/07/2018, 4056533, 3672534, 7729067, 0.91
02/08/2018, 3919462, 4449451, 8368913, 1.14
02/09/2018, 3992597, 5237354, 9229951, 1.31
02/12/2018, 3570113, 3368360, 6938473, 0.94
02/13/2018, 3039673, 2903417, 5943090, 0.96
02/14/2018, 2981929, 3481044, 6462973, 1.17
02/15/2018, 3179289, 2929984, 6109273, 0.92
02/16/2018, 3307999, 3067685, 6375684, 0.93
02/20/2018, 2396334, 2055649, 4451983, 0.86
02/21/2018, 2191609, 2324659, 4516268, 1.06
02/22/2018, 1899679, 2135345, 4035024, 1.12
02/23/2018, 2484710, 2497317, 4982027, 1.01
02/26/2018, 2714184, 2517310, 5231494, 0.93
02/27/2018, 2433665, 2541480, 4975145, 1.04
02/28/2018, 2331028, 2519469, 4850497, 1.08
03/01/2018, 2952565, 3799160, 6751725, 1.29
03/02/2018, 3014121, 3494660, 6508781, 1.16
03/05/2018, 2426392, 2419114, 4845506, 1.00
03/06/2018, 1938406, 1796650, 3735056, 0.93
03/07/2018, 2010408, 2102644, 4113052, 1.05
03/08/2018, 2254485, 2028401, 4282886, 0.90
03/09/2018, 3995513, 3249780, 7245293, 0.81
03/12/2018, 2566054, 2237392, 4803446, 0.87
03/13/2018, 2669172, 2324142, 4993314, 0.87
03/14/2018, 2401449, 2524710, 4926159, 1.05
03/15/2018, 2345547, 2099141, 4444688, 0.89
03/16/2018, 2741692, 2626234, 5367926, 0.96
03/19/2018, 3105750, 3167511, 6273261, 1.02
03/20/2018, 2402442, 2008289, 4410731, 0.84
03/21/2018, 1961228, 2275520, 4236748, 1.16
03/22/2018, 2505955, 3067832, 5573787, 1.22
03/23/2018, 2768463, 4250717, 7019180, 1.54
03/26/2018, 2356929, 2776638, 5133567, 1.18
03/27/2018, 2222132, 2387731, 4609863, 1.07
03/28/2018, 2260325, 3039852, 5300177, 1.34
03/29/2018, 2653399, 2518483, 5171882, 0.95
04/02/2018, 2490145, 3176304, 5666449, 1.28
04/03/2018, 1994235, 2078774, 4073009, 1.04
04/04/2018, 2391309, 2338932, 4730241, 0.98
04/05/2018, 2409099, 2050905, 4460004, 0.85
04/06/2018, 2596227, 2669035, 5265262, 1.03
04/09/2018, 1942913, 1907705, 3850618, 0.98
04/10/2018, 2333182, 1983310, 4316492, 0.85
04/11/2018, 2194995, 2249274, 4444269, 1.02
04/12/2018, 2070974, 2057893, 4128867, 0.99
04/13/2018, 2640665, 2599182, 5239847, 0.98
04/16/2018, 2520498, 2360346, 4880844, 0.94
04/17/2018, 3388780, 3252402, 6641182, 0.96
04/18/2018, 2570519, 2472795, 5043314, 0.96
04/19/2018, 2479986, 2412028, 4892014, 0.97
04/20/2018, 2608897, 2554595, 5163492, 0.98
04/23/2018, 1790344, 1667994, 3458338, 0.93
04/24/2018, 2522209, 2626697, 5148906, 1.04
04/25/2018, 2456417, 2361919, 4818336, 0.96
04/26/2018, 2702626, 2229250, 4931876, 0.82
04/27/2018, 2392718, 2112734, 4505452, 0.88
04/30/2018, 2094443, 1926434, 4020877, 0.92
05/01/2018, 1736096, 1931217, 3667313, 1.11
05/02/2018, 1959421, 1816640, 3776061, 0.93
05/03/2018, 2419224, 2479126, 4898350, 1.02
05/04/2018, 2480642, 2379035, 4859677, 0.96
05/07/2018, 2015133, 1881086, 3896219, 0.93
05/08/2018, 1911680, 1590424, 3502104, 0.83
05/09/2018, 2651640, 2220965, 4872605, 0.84
05/10/2018, 3082534, 2502750, 5585284, 0.81
05/11/2018, 2631260, 2586964, 5218224, 0.98
05/14/2018, 2315321, 2033245, 4348566, 0.88
05/15/2018, 1954687, 2176018, 4130705, 1.11
05/16/2018, 2053586, 1819625, 3873211, 0.89
05/17/2018, 2200251, 1835056, 4035307, 0.83
05/18/2018, 1970493, 2022220, 3992713, 1.03
05/21/2018, 2121011, 1749069, 3870080, 0.82
05/22/2018, 1892767, 1568313, 3461080, 0.83
05/23/2018, 1873493, 1852456, 3725949, 0.99
05/24/2018, 1923434, 1673318, 3596752, 0.87
05/25/2018, 1966658, 1801471, 3768129, 0.92
05/29/2018, 2240205, 2443511, 4683716, 1.09
05/30/2018, 2063377, 2032385, 4095762, 0.98
05/31/2018, 1955639, 2210641, 4166280, 1.13
06/01/2018, 2345718, 2007095, 4352813, 0.86
06/04/2018, 2066974, 1682476, 3749450, 0.81
06/05/2018, 2083677, 1608045, 3691722, 0.77
06/06/2018, 2653437, 2197211, 4850648, 0.83
06/07/2018, 2614682, 2401313, 5015995, 0.92
06/08/2018, 1962230, 1860246, 3822476, 0.95
06/11/2018, 2424465, 1788371, 4212836, 0.74
06/12/2018, 2551222, 1826461, 4377683, 0.72
06/13/2018, 2571941, 1905661, 4477602, 0.74
06/14/2018, 2566042, 2396034, 4962076, 0.93
06/15/2018, 2677100, 2486647, 5163747, 0.93
06/18/2018, 2137943, 2191990, 4329933, 1.03
06/19/2018, 2637129, 2210659, 4847788, 0.84
06/20/2018, 2167440, 1935969, 4103409, 0.89
06/21/2018, 2012605, 2065604, 4078209, 1.03
06/22/2018, 2049871, 1757812, 3807683, 0.86
06/25/2018, 3030070, 3345158, 6375228, 1.10
06/26/2018, 2032970, 1855313, 3888283, 0.91
06/27/2018, 2162929, 2344281, 4507210, 1.08
06/28/2018, 2014191, 2660840, 4675031, 1.32
06/29/2018, 1795504, 2224736, 4020240, 1.24
07/02/2018, 1535022, 1623039, 3158061, 1.06
07/03/2018, 1029070, 1101941, 2131011, 1.07
07/05/2018, 1639929, 1499444, 3139373, 0.91
07/06/2018, 1948665, 1954384, 3903049, 1.00
07/09/2018, 2397498, 2204464, 4601962, 0.92
07/10/2018, 2121207, 2089126, 4210333, 0.98
07/11/2018, 1773591, 1811487, 3585078, 1.02
07/12/2018, 2138806, 1965266, 4104072, 0.92
07/13/2018, 2271804, 2233691, 4505495, 0.98
07/16/2018, 1861465, 1850342, 3711807, 0.99
07/17/2018, 2319537, 2202099, 4521636, 0.95
07/18/2018, 2232910, 1898850, 4131760, 0.85
07/19/2018, 2158181, 1945921, 4104102, 0.90
07/20/2018, 2363711, 2312179, 4675890, 0.98
07/23/2018, 2040734, 1739962, 3780696, 0.85
07/24/2018, 2466823, 2255765, 4722588, 0.91
07/25/2018, 2330402, 1912089, 4242491, 0.82
07/26/2018, 2431074, 1799590, 4230664, 0.74
07/27/2018, 2391504, 2515110, 4906614, 1.05
07/30/2018, 1988652, 2217683, 4206335, 1.12
07/31/2018, 1975006, 1979711, 3954717, 1.00
08/01/2018, 1779692, 1810774, 3590466, 1.02
08/02/2018, 2234188, 2161001, 4395189, 0.97
08/03/2018, 2087391, 1885233, 3972624, 0.90
08/06/2018, 2084790, 1880817, 3965607, 0.90
08/07/2018, 2281670, 2098657, 4380327, 0.92
08/08/2018, 2143650, 2028669, 4172319, 0.95
08/09/2018, 2089285, 1781703, 3870988, 0.85
08/10/2018, 2375732, 2857609, 5233341, 1.20
08/13/2018, 2015881, 2185756, 4201637, 1.08
08/14/2018, 1825606, 1659436, 3485042, 0.91
08/15/2018, 2942542, 3425302, 6367844, 1.16
08/16/2018, 2539634, 2388096, 4927730, 0.94
08/17/2018, 2500748, 2593075, 5093823, 1.04
08/20/2018, 2119103, 1684544, 3803647, 0.79
08/21/2018, 2604872, 2115002, 4719874, 0.81
08/22/2018, 1960269, 1888324, 3848593, 0.96
08/23/2018, 1899488, 1957529, 3857017, 1.03
08/24/2018, 2205641, 2039883, 4245524, 0.92
08/27/2018, 2800369, 2059543, 4859912, 0.74
08/28/2018, 2265544, 1832909, 4098453, 0.81
08/29/2018, 2434059, 2062848, 4496907, 0.85
08/30/2018, 2527602, 2077976, 4605578, 0.82
08/31/2018, 2076080, 2132921, 4209001, 1.03
09/04/2018, 2185929, 1865265, 4051194, 0.85
09/05/2018, 2279768, 2255413, 4535181, 0.99
09/06/2018, 2302409, 2428537, 4730946, 1.05
09/07/2018, 2096536, 2460550, 4557086, 1.17
09/10/2018, 1557770, 1798751, 3356521, 1.15
09/11/2018, 1997655, 1749177, 3746832, 0.88
09/12/2018, 2423997, 1993993, 4417990, 0.82
09/13/2018, 2829162, 2367598, 5196760, 0.84
09/14/2018, 2617524, 2164861, 4782385, 0.83
09/17/2018, 2189143, 2024136, 4213279, 0.92
09/18/2018, 2347465, 1946520, 4293985, 0.83
09/19/2018, 2483086, 2356882, 4839968, 0.95
09/20/2018, 3183329, 2824592, 6007921, 0.89
09/21/2018, 2802023, 2753133, 5555156, 0.98
09/24/2018, 1900664, 1860584, 3761248, 0.98
09/25/2018, 1730192, 1528267, 3258459, 0.88
09/26/2018, 2162974, 1890371, 4053345, 0.87
09/27/2018, 1983927, 1863912, 3847839, 0.94
09/28/2018, 2288654, 2436205, 4724859, 1.06
10/01/2018, 1951649, 1974084, 3925733, 1.01
10/02/2018, 1943970, 1548526, 3492496, 0.80
10/03/2018, 2326096, 1996688, 4322784, 0.86
10/04/2018, 3124387, 3327771, 6452158, 1.07
10/05/2018, 2834942, 3355363, 6190305, 1.18
10/08/2018, 2395866, 2814171, 5210037, 1.17
10/09/2018, 2158299, 2037157, 4195456, 0.94
10/10/2018, 4053501, 4929041, 8982542, 1.22
10/11/2018, 4568540, 5409370, 9977910, 1.18
10/12/2018, 3451863, 4008069, 7459932, 1.16
10/15/2018, 2817052, 2693744, 5510796, 0.96
10/16/2018, 2939656, 3033662, 5973318, 1.03
10/17/2018, 2386571, 2782555, 5169126, 1.17
10/18/2018, 2323526, 3025107, 5348633, 1.30
10/19/2018, 2713002, 3089192, 5802194, 1.14
10/22/2018, 1959408, 2088751, 4048159, 1.07
10/23/2018, 3310613, 3431708, 6742321, 1.04
10/24/2018, 2866382, 3694403, 6560785, 1.29
10/25/2018, 3415936, 3515380, 6931316, 1.03
10/26/2018, 3545251, 4665883, 8211134, 1.32
10/29/2018, 2511741, 3184895, 5696636, 1.27
10/30/2018, 2545522, 2993079, 5538601, 1.18
10/31/2018, 2876199, 3221625, 6097824, 1.12
11/01/2018, 2804281, 2371975, 5176256, 0.85
11/02/2018, 2945481, 2725899, 5671380, 0.93
11/05/2018, 1963555, 2003275, 3966830, 1.02
11/06/2018, 2097855, 2343957, 4441812, 1.12
11/07/2018, 3515265, 3379709, 6894974, 0.96
11/08/2018, 2315889, 2255426, 4571315, 0.97
11/09/2018, 2685866, 2982875, 5668741, 1.11
11/12/2018, 2141031, 2540548, 4681579, 1.19
11/13/2018, 2421964, 2379264, 4801228, 0.98
11/14/2018, 2512363, 3075820, 5588183, 1.22
11/15/2018, 3295636, 2812063, 6107699, 0.85
11/16/2018, 2858882, 2693865, 5552747, 0.94
11/19/2018, 2562239, 2475175, 5037414, 0.97
11/20/2018, 3501742, 3230759, 6732501, 0.92
11/21/2018, 2044745, 2211329, 4256074, 1.08
11/23/2018, 1190029, 1330341, 2520370, 1.12
11/26/2018, 2275990, 2185276, 4461266, 0.96
11/27/2018, 1911272, 1761585, 3672857, 0.92
11/28/2018, 3027223, 2552898, 5580121, 0.84
11/29/2018, 2486540, 2212005, 4698545, 0.89
11/30/2018, 3036323, 2317365, 5353688, 0.76
12/03/2018, 3214550, 2456496, 5671046, 0.76
12/04/2018, 3561693, 3367543, 6929236, 0.95
12/06/2018, 3580999, 3880883, 7461882, 1.08
12/07/2018, 2999110, 3510147, 6509257, 1.17
12/10/2018, 3013656, 3215356, 6229012, 1.07
12/11/2018, 2221664, 2162513, 4384177, 0.97
12/12/2018, 2333575, 2335508, 4669083, 1.00
12/13/2018, 1803421, 2088283, 3891704, 1.16
12/14/2018, 2536798, 2884630, 5421428, 1.14
