Volume and Put/Call Ratio data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.  Historical index volume from November 1 2006 through May 31 2012 is based on cleared volume as reported by the OCC. The volume data reflected after May 31 2012 below is based upon preliminary reported volume rather than cleared volume. The information and data was obtained from sources believed to be reliable but accuracy is not guaranteed. Your use of CBOE Volume and Put/Call Ratio data is subject to the Terms and Conditions of CBOE's Websites.,,,,
, PRODUCT: TOTAL,,EXCHANGE: CBOE,
DATE,CALLS,PUTS,TOTAL,P/C Ratio
10/06/2016, 1790155, 1783724, 3573879, 1.00
10/07/2016, 1762194, 2081023, 3843217, 1.18
10/10/2016, 1619968, 1510985, 3130953, 0.93
10/11/2016, 2297504, 2566380, 4863884, 1.12
10/12/2016, 1595535, 1685295, 3280830, 1.06
10/13/2016, 2282346, 2215854, 4498200, 0.97
10/14/2016, 2137468, 2017653, 4155121, 0.94
10/17/2016, 1518629, 1470178, 2988807, 0.97
10/18/2016, 1982459, 1932738, 3915197, 0.97
10/19/2016, 1995811, 1895783, 3891594, 0.95
10/20/2016, 1946131, 1926066, 3872197, 0.99
10/21/2016, 2437915, 2371071, 4808986, 0.97
10/24/2016, 1664592, 1556096, 3220688, 0.93
10/25/2016, 1711059, 1657294, 3368353, 0.97
10/26/2016, 1817490, 1643429, 3460919, 0.90
10/27/2016, 2143918, 1800377, 3944295, 0.84
10/28/2016, 2382744, 2647661, 5030405, 1.11
10/31/2016, 1643838, 1734949, 3378787, 1.06
11/01/2016, 2108952, 3009635, 5118587, 1.43
11/02/2016, 1982695, 2588069, 4570764, 1.31
11/03/2016, 2359955, 2804773, 5164728, 1.19
11/04/2016, 2732724, 3749380, 6482104, 1.37
11/07/2016, 2463858, 3008251, 5472109, 1.22
11/08/2016, 2211579, 3283551, 5495130, 1.48
11/09/2016, 3641178, 3914176, 7555354, 1.07
11/10/2016, 3726713, 3326686, 7053399, 0.89
11/11/2016, 2638988, 2825389, 5464377, 1.07
11/14/2016, 2905228, 2635571, 5540799, 0.91
11/15/2016, 2655801, 2423578, 5079379, 0.91
11/16/2016, 2408777, 2464933, 4873710, 1.02
11/17/2016, 2490632, 2162922, 4653554, 0.87
11/18/2016, 2330521, 2197648, 4528169, 0.94
11/21/2016, 2316247, 1955106, 4271353, 0.84
11/22/2016, 2115550, 2105680, 4221230, 1.00
11/23/2016, 1817286, 1743228, 3560514, 0.96
11/25/2016, 1551690, 1238513, 2790203, 0.80
11/28/2016, 1818765, 1676384, 3495149, 0.92
11/29/2016, 1477374, 1414842, 2892216, 0.96
11/30/2016, 2144476, 1927411, 4071887, 0.90
12/01/2016, 2229233, 2107208, 4336441, 0.95
12/02/2016, 1912161, 1766106, 3678267, 0.92
12/05/2016, 1888760, 1628915, 3517675, 0.86
12/06/2016, 1729315, 1428908, 3158223, 0.83
12/07/2016, 2970486, 2492864, 5463350, 0.84
12/08/2016, 3069374, 2306219, 5375593, 0.75
12/09/2016, 2806658, 2290518, 5097176, 0.82
12/12/2016, 2064364, 1644313, 3708677, 0.80
12/13/2016, 3274790, 1977616, 5252406, 0.60
12/14/2016, 2386986, 2142003, 4528989, 0.90
12/15/2016, 2418077, 2061540, 4479617, 0.85
12/16/2016, 2632634, 2403816, 5036450, 0.91
12/19/2016, 1726918, 2019163, 3746081, 1.17
12/20/2016, 1723785, 1616501, 3340286, 0.94
12/21/2016, 1787895, 1645284, 3433179, 0.92
12/22/2016, 1835368, 1638134, 3473502, 0.89
12/23/2016, 1149346, 992739, 2142085, 0.86
12/27/2016, 1048751, 1069851, 2118602, 1.02
12/28/2016, 1527796, 1393317, 2921113, 0.91
12/29/2016, 1376620, 1299106, 2675726, 0.94
12/30/2016, 1630190, 1774835, 3405025, 1.09
01/03/2017, 1808289, 1767477, 3575766, 0.98
01/04/2017, 1933639, 1690512, 3624151, 0.87
01/05/2017, 1737037, 2011530, 3748567, 1.16
01/06/2017, 2147915, 2090158, 4238073, 0.97
01/09/2017, 1522835, 1524357, 3047192, 1.00
01/10/2017, 1806645, 1600779, 3407424, 0.89
01/11/2017, 2222884, 1875626, 4098510, 0.84
01/12/2017, 1979866, 2127889, 4107755, 1.07
01/13/2017, 2154884, 1976455, 4131339, 0.92
01/17/2017, 2222018, 2117287, 4339305, 0.95
01/18/2017, 2185526, 2345616, 4531142, 1.07
01/19/2017, 2051053, 1929763, 3980816, 0.94
01/20/2017, 2469986, 2468349, 4938335, 1.00
01/23/2017, 1931817, 1831465, 3763282, 0.95
01/24/2017, 2383446, 1802771, 4186217, 0.76
01/25/2017, 3114558, 2241235, 5355793, 0.72
01/26/2017, 2125006, 1845896, 3970902, 0.87
01/27/2017, 2062738, 2067651, 4130389, 1.00
01/30/2017, 2006109, 2197626, 4203735, 1.10
01/31/2017, 1803349, 1853263, 3656612, 1.03
02/01/2017, 2028857, 1855154, 3884011, 0.91
02/02/2017, 1925627, 1658517, 3584144, 0.86
02/03/2017, 2999616, 2289604, 5289220, 0.76
02/06/2017, 1670585, 1751110, 3421695, 1.05
02/07/2017, 1780110, 1955092, 3735202, 1.10
02/08/2017, 2020999, 1962602, 3983601, 0.97
02/09/2017, 2392537, 2235981, 4628518, 0.93
02/10/2017, 2404905, 2367078, 4771983, 0.98
02/13/2017, 3195364, 2123332, 5318696, 0.66
02/14/2017, 3111080, 2183727, 5294807, 0.70
02/15/2017, 3284922, 2743394, 6028316, 0.84
02/16/2017, 2614487, 2317647, 4932134, 0.89
02/17/2017, 2518623, 2348783, 4867406, 0.93
02/21/2017, 2781018, 2280700, 5061718, 0.82
